type,section_number,section_title,text,page
section_header,3.1.1,American Petroleum Institute (API) ..................................................................... 4,,3
section_header,3.1.3,American Society for Testing and Materials (ASTM) ........................................... 5,,3
section_header,3.1.4,International Organization for Standardization (ISO)........................................... 5,,3
section_header,3.1.5,Institute of Electrical and Electronic Engineers (IEEE) ........................................ 6,,3
section_header,3.1.6,Instrument Society of America (ISA).................................................................... 6,,3
section_header,3.1.7,International Electrotechnical Commission (IEC) ................................................ 6,,3
section_header,3.1.8,American Welding Society (AWS) ....................................................................... 6,,3
section_header,3.1.9,Spanish Association for Standardization – UNE ................................................. 6,,3
section_header,3.1.10,Códigos y Estándares Nacionales ....................................................................... 6,,3
section_header,3.1.11,ECOPETROL ....................................................................................................... 7,,3
section_header,3.2,Documentos del Proyecto .................................................................................... 7,,3
paragraph,3.2,Documentos del Proyecto .................................................................................... 7,4. Ubicación y Condiciones Ambientales del Sitio ............................................................ 8,3
section_header,4.1,Ubicación ............................................................................................................................. 8,,3
section_header,4.2,Condiciones del Sitio ........................................................................................................... 8,,3
paragraph,4.2,Condiciones del Sitio ........................................................................................................... 8,5. Datos Generales y Requisitos ....................................................................................... 10,3
section_header,5.1,Vida de servicio ................................................................................................................. 10,,3
section_header,5.2,Unidades de medida ......................................................................................................... 10,,3
section_header,5.3,Lenguaje ............................................................................................................................ 10,,3
section_header,5.4,Limitación de Ruido ........................................................................................................... 10,,3
section_header,5.5,Clasificación de Áreas Peligrosas ..................................................................................... 10,,3
section_header,5.6,Suministro de Energía ....................................................................................................... 10,,3
section_header,5.7,Área Disponible ................................................................................................................. 11,,3
paragraph,5.7,Área Disponible ................................................................................................................. 11,6. Alcance del suministro ................................................................................................... 12,3
section_header,6.1,Equipos y Componentes ................................................................................................... 12,,3
section_header,6.2,Servicios y Misceláneos .................................................................................................... 12,,3
section_header,6.3,Exclusiones ....................................................................................................................... 13,,3
section_header,6.4,Límites de Batería ............................................................................................................. 14,,3
section_header,6.4.1,Tubería ............................................................................................................... 14,,3
section_header,6.4.2,Electricidad ........................................................................................................ 14,,3
section_header,6.4.3,Instrumentación y Control .................................................................................. 14,,3
paragraph,,,"PROJECT CONTRACTOR
Ingeniería Detalle Acondicionamiento
Estratégico Cupiagua
FFM/F-S-ME-015 20/11/2023
DOCUMENT TITLE Page ii / iv
Especificación Técnica Paquete de Inyección de Químicos
Rev. 1",4
section_header,6.4.4,Civiles ................................................................................................................ 15,,4
paragraph,6.4.4,Civiles ................................................................................................................ 15,7. Requerimientos Técnicos .............................................................................................. 16,4
section_header,7.1,General .............................................................................................................................. 16,,4
section_header,7.2,Procesos ........................................................................................................................... 17,,4
section_header,7.2.1,Conexiones a Procesos .................................................................................................... 18,,4
section_header,7.3,Mecánica ........................................................................................................................... 19,,4
section_header,7.3.1,Bombas de dosificación ..................................................................................... 19,,4
section_header,7.3.2,Tanques de Almacenamiento ............................................................................ 20,,4
section_header,7.3.3,Boquilla de inyección (Quill) .............................................................................. 20,,4
section_header,7.4,Tubería .............................................................................................................................. 21,,4
section_header,7.5,Estructurales y Civiles ....................................................................................................... 21,,4
section_header,7.6,Electricidad ........................................................................................................................ 22,,4
section_header,7.6.1,Tablero de Potencia ........................................................................................... 23,,4
section_header,7.6.2,Interruptores ....................................................................................................... 23,,4
section_header,7.6.3,Contactores ........................................................................................................ 24,,4
section_header,7.6.4,Botones pulsadores ........................................................................................... 24,,4
section_header,7.6.5,Transformadores de Control .............................................................................. 24,,4
section_header,7.6.6,Lámparas de Señalización ................................................................................ 24,,4
section_header,7.6.7,Cableado y Conexionado .................................................................................. 25,,4
section_header,7.6.8,Motores Eléctricos ............................................................................................. 25,,4
section_header,7.7,Instrumentación y Control ................................................................................................. 25,,4
section_header,7.7.1,Indicadores de Presión ...................................................................................... 27,,4
section_header,7.7.2,Transmisores de Presión ................................................................................... 28,,4
section_header,7.7.3,Válvulas de Alivio ............................................................................................... 28,,4
section_header,7.7.4,Clasificación Eléctrica de Instrumentos ............................................................. 29,,4
section_header,7.8,Pintura y Recubrimiento .................................................................................................... 29,,4
section_header,7.9,Placa de Identificación y Estampado ................................................................................ 30,,4
section_header,7.10,Materiales .......................................................................................................................... 30,,4
paragraph,7.10,Materiales .......................................................................................................................... 30,"8. Aseguramiento de la Calidad, Inspección y Ensayos ................................................. 32",4
section_header,8.1,Requerimientos de trazabilidad de los materiales ............................................................ 32,,4
section_header,8.2,Pruebas ............................................................................................................................. 32,,4
section_header,8.3,Inspección no Destructiva ................................................................................................. 33,,4
section_header,8.3.1,Pruebas de presión ............................................................................................ 33,,4
section_header,8.3.2,FAT .................................................................................................................... 33,,4
paragraph,8.3.2,FAT .................................................................................................................... 33,"9. Servicios en Campo, Asistencia y Entrenamiento ...................................................... 34
10. Piezas de Repuesto y Herramientas Especiales .......................................................... 35",4
section_header,10.1,Herramientas Especiales .................................................................................................. 35,,4
paragraph,10.1,Herramientas Especiales .................................................................................................. 35,"11. Embalaje, Conservación y Preparación para el Envío ................................................ 36",4
section_header,11.1,Embalaje ........................................................................................................................... 36,,4
section_header,11.2,Marcado de Envío ............................................................................................................. 37,,4
paragraph,,,"PROJECT CONTRACTOR
Ingeniería Detalle Acondicionamiento
Estratégico Cupiagua
FFM/F-S-ME-015 20/11/2023
DOCUMENT TITLE Page iii / iv
Especificación Técnica Paquete de Inyección de Químicos
Rev. 1
12. Documentación ............................................................................................................... 38",5
section_header,12.1,General .............................................................................................................................. 38,,5
section_header,12.2,Certificados de Pruebas y Documentación de las Pruebas .............................. 40,,5
section_header,12.3,Certificados de Material..................................................................................................... 40,,5
section_header,12.4,Manual de Instrucciones ................................................................................................... 40,,5
paragraph,12.4,Manual de Instrucciones ................................................................................................... 40,14. Garantía ............................................................................................................................ 43,5
paragraph,,,"PROJECT CONTRACTOR
Ingeniería Detalle Acondicionamiento
Estratégico Cupiagua
FFM/F-S-ME-015 20/11/2023
DOCUMENT TITLE Page iv / iv
Especificación Técnica Paquete de Inyección de Químicos
Rev. 1
Índice de Tablas
Tabla 1. Condiciones del Sitio – Fuente: “Bases de Diseño – Interdisciplinario” – FFM/F-PEI-010 9
Tabla 2. Suministro de Energía Eléctrica .................................................................................... 11
Tabla 3. Lista de conexiones de salida del PAQUETE. .............................................................. 18
Tabla 4. Especificaciones técnicas de las bombas del PAQUETE de inyección de químicos. .. 20
Tabla 5. Restricciones de Transporte - Fuente: ""Resolución 4959 de 2006"" ............................. 36
Índice de Figuras
Figura 1. Localización geográfica del campo Cupiagua ............................................................... 8
Figura 2. Área disponible para el PAQUETE. (ver FFD/F-PCF-MP-PIL-10-822-1/1) ................. 11
Figura 3. P&ID Paquete de inyección de químicos. Tomado de PUM/F-PCF-PU-PRE-55-552-2/2 18",6
paragraph,,,"PROJECT CONTRACTOR
FFM/F-S-ME-015 20/11/2023
DOCUMENT TITLE Page 1 / 43
Especificación Técnica Paquete de Inyección de Químicos
Rev. 1
1. Introducción",7
section_header,1.1,Objetivo,,7
paragraph,1.1,Objetivo,"El objetivo de este documento es definir los requerimientos mínimos para un (1) PAQUETE de inyección
de químicos que funcionará para el nuevo paquete de compresión de gas de proceso M155-K-21150 para
el proyecto “ACONDICIONAMIENTO ESTRATEGICO CUPIAGUA” para ECOPETROL S.A.",7
section_header,1.2,Alcance,,7
paragraph,1.2,Alcance,"Esta especificación técnica, junto los demás documentos del proyecto referenciados (especificaciones,
hojas de datos, diagramas de tubería e instrumentación, planos, etc.) y los códigos y estándares de la
industria aplican para el suministro de un (1) PAQUETE de inyección de químicos (componentes
principales, accesorios necesarios para la operación, instrumentación y controles necesarios para un
funcionamiento seguro y sin riesgos para la operación continua de este PAQUETE.
El VENDEDOR se encargará de la selección, ingeniería, fabricación, suministro, aseguramiento y control
de calidad, embalaje, transporte y entrega al lugar indicado por el CLIENTE del PAQUETE con las
modificaciones o adicionales necesarias para cumplir con esta especificación.",7
paragraph,,,"PROJECT CONTRACTOR
FFM/F-S-ME-015 20/11/2023
DOCUMENT TITLE Page 2 / 43
Especificación Técnica Paquete de Inyección de Químicos
Rev. 1
2. Definiciones y abreviaturas",8
section_header,2.1,Definiciones,,8
paragraph,2.1,Definiciones,"DEBE La palabra debe implica un requerimiento.
CLIENTE ECOPETROL
FABRICANTE Es la compañía o compañías representadas por el VENDEDOR que fabrica(n)
los componentes del PAQUETE adquirido.
VENDEDOR La organización seleccionada para fabricar o suministrar el PAQUETE o
Servicios
SUB-PROVEEDOR La organización seleccionada por el VENDEDOR para suministrar la pieza,
equipo o servicio
PAQUETE El conjunto de todos los equipos, instrumentos, controles, componentes
eléctricos, tubería y todos los artículos auxiliares necesarios para el PAQUETE
de inyección de químicos sea integrado sobre un skid estructural.
PUEDE La palabra indica una recomendación.",8
section_header,2.2,Abreviaturas,,8
paragraph,2.2,Abreviaturas,"AISC American Institute of Steel Construction
ANSI American National Standards Institute.
API American Petroleum Institute.
ASCE American Society of Civil Engineers.
ASME American Society of Mechanical Engineers.
ASTM American Society for Testing and Materials.
AWS American Welding Society.
NTC Normas Técnicas Colombianas.
PCS Process control Systems
PSS Process Security System
SIS Security Instrumented Systems
CCR Central Control Room
ESD Emergency Shut Down.
HMI Human – Machine Interface.
ICSS Integrated Control and Safety System.
UCP Unit Control Panel.",8
paragraph,,,"PROJECT CONTRACTOR
FFM/F-S-ME-015 20/11/2023
DOCUMENT TITLE Page 3 / 43
Especificación Técnica Paquete de Inyección de Químicos
Rev. 1
RETIE Reglamento Técnico de Instalaciones Eléctricas.
IEC International Electrotechnical Commission.
NEMA National Electrical Manufacturer Association.
ISO International Standard Organization.
IEEE Institute of Electrical and Electronics Engineers.
SSPC The Society for Protective Coatings.",9
paragraph,,,"PROJECT CONTRACTOR
FFM/F-S-ME-015 20/11/2023
DOCUMENT TITLE Page 4 / 43
Especificación Técnica Paquete de Inyección de Químicos
Rev. 1
3. Documentos de Referencia
El PAQUETE que se suministrará debe estar diseñado, fabricado y probado de acuerdo con la última
versión vigente y en uso de los siguientes códigos, estándares y documentos del proyecto.
El VENDEDOR deberá identificar y referenciar, en la oferta, cualquier otro estándar, especificación o
código que no se mencione en esta especificación técnica.
EL VENDEDOR deberá tener en cuenta el orden de jerarquías para la solución de discrepancias entre
este documento y los que se incluyan en la requisición de material del PAQUETE considerando que existen
otros documentos complementarios que formaran parte para el suministro de este que no se encuentran
indicados en este documento.
La versión de los documentos referenciados deberá ser la última actualización a la fecha de la firma del
acuerdo de suministro del PAQUETE con el CLIENTE.
El VENDEDOR deberá indicar cualquier conflicto entre los códigos, estándares, o cualquier otro
documento normativo que se referencia esta especificación técnica.
El VENDEDOR deberá informar al CLIENTE y/o su representante sobre el conflicto de manera escrita, en
el periodo de aclaraciones del proceso de licitación a través de una lista de desviaciones.
La última versión de los códigos y estándares internacionales (según corresponda) como ASME, API,
ASTM, ISO, IEEE, AWS, IEC, etc. son obligatorios y se deben cumplir íntegramente en este suministro.",10
section_header,3.1,Códigos y Estándares,,10
section_header,3.1.1,American Petroleum Institute (API),,10
paragraph,3.1.1,American Petroleum Institute (API)," API STD 520 Sizing, Selection and Installation or Pressure-Relieving Valves in Refineries
 API STD 526 Flanged Steel Pressure Relief Valves
 API STD 614 Lubrication, Shaft-Sealing and Oil-control Systems and Auxiliaries
 API STD 670 Machinery Protection Systems
 API STD 675 Positive Displacement Pumps – Controlled Volume
 API STD 686 Machinery Installation and Installation Design
 API RP500 Recommended Practice for Classification of Locations for Electrical Installations
at Petroleum Facilities classified as Class I Division 1 and Division 2",10
section_header,3.1.2,American Society of Mechanical Engineers (ASME),,10
paragraph,3.1.2,American Society of Mechanical Engineers (ASME), Boilers and Pressure Vessel Code – BPVC,10
paragraph,,,"PROJECT CONTRACTOR
FFM/F-S-ME-015 20/11/2023
DOCUMENT TITLE Page 5 / 43
Especificación Técnica Paquete de Inyección de Químicos
Rev. 1
 ASME Section II Materials and Specifications
 ASME Section V Non-destructive Examination
 ASME Section IX Welding and Brazing Requirements
 ASME B1.1 Unified Inch Screw Threads (UN and UNR Thread Form)
 ASME B1.20.1 Pipe Threads, General Purpose (inch)
 ASME B16.1 Gray Iron Pipe Flanges and Flanged Fittings (Classes 25, 125, 250)
 ASME B16.5 Pipe Flanges and Flanged Fittings NPS ½ through NPS 24
 ASME B16.11 Forged Fittings, Socket Welding and Threaded
 ASME B16.20 Metallic Gaskets for Pipe Flanges
 ASME B16.34 Valves–Flanged, Threaded, and Welding End
 ASME B16.42 Ductile Iron Pipe Flanges and Flanged Fittings Classes 150 and 300
 ASME B31.3 Process Piping
 ASME B36.10 Welded and Seamless Wrought Steel Pipe
 ASME B36.19 Stainless Steel Pipe",11
section_header,3.1.3,American Society for Testing and Materials (ASTM),,11
paragraph,3.1.3,American Society for Testing and Materials (ASTM)," ASTM E94 Standard Guide for Radiographic Examination Using Industrial Radiographic Film
 ASTM A388 Standard Practice for Ultrasonic Examination of Steel Forgings
 ASTM A536 Standard Specification for Ductile Iron Castings
 ASTM A609 Standard Practice for Castings, Carbon, Low-Alloy, and Martensitic Stainless
Steel, Ultrasonic Examination
 ASTM E165 Standard Practice for Liquid Penetrant Examination for General Industry
 ASTM E709 Standard Guide for Magnetic Particle Testing
 ASTM A 48 Standard specification for gray iron castings
 ASTM A 216 Standard specification for 5reas castings, carbon, suitable for 5reas5 welding, for
high- 5reas5of5ra service
 ASTM 278 Standard specification for gray iron castings for pressure-containing parts for
5reas5of5ra up to 650 degrees
 ASTM A 436 Standard specification for austenitic gray iron castings
 ASTM A 439 Standard specification for austenitic ductile iron castings",11
section_header,3.1.4,International Organization for Standardization (ISO),,11
paragraph,3.1.4,International Organization for Standardization (ISO)," ISO 1217
 ISO 3744 Determination of Sound Power 5reas5of Noise Sources using Sound Pressure",11
paragraph,,,"PROJECT CONTRACTOR
FFM/F-S-ME-015 20/11/2023
DOCUMENT TITLE Page 6 / 43
Especificación Técnica Paquete de Inyección de Químicos
Rev. 1
 ISO 8821 Mechanical vibration – Balancing Shaft and fitment key convention
 ISO 9001 Quality Systems
 ISO 15664 Noise Control Design Procedures for Open Plant",12
section_header,3.1.5,Institute of Electrical and Electronic Engineers (IEEE),,12
paragraph,3.1.5,Institute of Electrical and Electronic Engineers (IEEE)," IEEE STD 1 Recommended Practice General Principles for Temperature Limits in the Rating
of Electrical Equipment and for the evaluation of Electrical Insulation
 IEEE STD 43 Recommended Practice for Testing Insulation Resistance of Rotating Machinery
 IEEE STD 115 Test Procedures for Synchronous Machine
 IEEE STD 841 IEEE Standard for Petroleum and Chemical Industry–Premium-Efficiency,
Severe-Duty, Totally Enclosed Fan-Cooled (TEFC) Squirrel Cage Induction
Motors–Up to and Including 370 kW (500 hp)",12
section_header,3.1.6,Instrument Society of America (ISA),,12
paragraph,3.1.6,Instrument Society of America (ISA)," ISA 5. 1 Instrument Symbols and Identification
 ISA 5.2 Binary Logic Diagrams for Process Operation
 ISA 5.4 Instrument Loop Drawing
 ISA 5.5 Graphic Symbols for Process Display
 ISA 75.05 Control Valve Terminology
 ISA 84.01 Application of Safety Instrumented Systems for the Process Industries
 MC-96.1 Temperature Measurement Thermocouples",12
section_header,3.1.7,International Electrotechnical Commission (IEC),,12
paragraph,3.1.7,International Electrotechnical Commission (IEC)," IEC 60079-10-1 Explosive atmospheres – Part 10-1: Classification of 6reas – Explosive gas
atmospheres
 IEC 60529 Degrees of protection provided by enclosures (IP Codes)",12
section_header,3.1.8,American Welding Society (AWS),,12
paragraph,3.1.8,American Welding Society (AWS), AWS D1.1 Structural Welding Code,12
section_header,3.1.9,Spanish Association for Standardization – UNE,,12
paragraph,3.1.9,Spanish Association for Standardization – UNE, EN 10204 Productos metálicos. Tipos de documentos de inspección.,12
section_header,3.1.10,Códigos y Estándares Nacionales,,12
paragraph,3.1.10,Códigos y Estándares Nacionales, RETIE Reglamento Técnico de Instalaciones Eléctricas,12
paragraph,,,"PROJECT CONTRACTOR
FFM/F-S-ME-015 20/11/2023
DOCUMENT TITLE Page 7 / 43
Especificación Técnica Paquete de Inyección de Químicos
Rev. 1
 Resolución 1792 Valores Límites Permisibles para la Exposición Ocupacional al Ruido
 NTC 2050 Código Eléctrico Colombiano",13
section_header,3.1.11,ECOPETROL,,13
paragraph,3.1.11,ECOPETROL,"Los documentos del CLIENTE que se indican a continuación son de referencia y guía, estos se emplearán
SOLO si se indican explícitamente dentro de algún capítulo de este documento.
 ECP-VIN-G-GEN-GT-003 Guía para la Preparación del Dossier de Manufactura y Control de Calidad
 ECP-DHS-G-009 Guía sobre Código de Colores y Señales Industriales
 ECP-P-013 Listado de Marcas Homologadas
 ECP-VST-P-ELE-ET-006 Especificación Técnica Motores de Baja Tensión
 ECP-VST-P-ELE-MT-004 Manual Técnico de Clasificación de Áreas para Instalaciones Eléctricas",13
section_header,3.2,Documentos del Proyecto,,13
paragraph,3.2,Documentos del Proyecto," FFM/F-PIB-007 PIPING CLASS
 FFM/F-PRC-006 DEFINICIÓN Y DIMENSIONAMIENTO DE EQUIPOS DE
UNIDADES PAQUETE
 PUM/F-PCF-PU-PRE-65-552-2/2 P&ID NEW CHEMICAL PACKAGE
 FFM/F-MEX-033 HOJA DE DATOS PAQUETE DE INYECCIÓN DE QUÍMICOS
 FFM/F-MEU-007 CRITERIOS DE DISEÑO DE LA DISCIPLINA MECÁNICA
 FFM/F-MEG-013 LISTADO DE EQUIPOS MECÁNICOS
 FFM/F-PEI-010 BASES DE DISEÑO – INTERDISCIPLINARIO
 FFD/F-PCF-MP-PIL-10-822-1/1 CUPIAGUA FACILITIES – PLOT PLAN – ZONE 5 MAIN PROCESS
NO. 2
Nota:
El VENDEDOR debe incluir todos los estándares y códigos industriales aplicables dentro de su oferta en
caso tal que no se listen en este documento.",13
paragraph,,,"PROJECT CONTRACTOR
FFM/F-S-ME-015 20/11/2023
DOCUMENT TITLE Page 8 / 43
Especificación Técnica Paquete de Inyección de Químicos
Rev. 1
4. Ubicación y Condiciones Ambientales del Sitio",14
section_header,4.1,Ubicación,,14
paragraph,4.1,Ubicación,"El Campo Cupiagua, de la Gerencia de Operaciones de Desarrollo y Producción Piedemonte, está
localizado a 175 km, respectivamente, al noreste de Bogotá y al occidente de los municipios de Yopal y
Aguazul, en el departamento de Casanare.
Figura 1. Localización geográfica del campo Cupiagua",14
section_header,4.2,Condiciones del Sitio,,14
paragraph,4.2,Condiciones del Sitio,"Parámetros Valor
Altitud CPF 396 m.a.s.l.
Presión Barométrica 14.05 psia
Temperatura Ambiente Promedio Mín. 70.8⁰ F (21.6⁰ C)
Máx. 88.8⁰ F (31.5⁰C)
Temperatura Ambiente Mín. 69.8⁰ F (21⁰ C)
Máx. 92.5⁰ F (33.6⁰C)
Temporada de Lluvias De abril a octubre
Precipitación Promedio 80”-170” /año (203-432cm/año)
Precipitación Máxima por Dia 9” /24h (228mm/24h)
Brillo Solar Min.: 3.9 (hora/día)
Max.: 7.4 (hora/día)
Prom.: 5.4 (hora/día)",14
paragraph,,,"PROJECT CONTRACTOR
FFM/F-S-ME-015 20/11/2023
DOCUMENT TITLE Page 9 / 43
Especificación Técnica Paquete de Inyección de Químicos
Rev. 1
Parámetros Valor
Velocidad del Viento Prom.: 15 a 20 (millas/hora)
Max.: 55 (millas/hora)
NE hacia SW
Humedad Relativa Min.: 68%
Max.: 84%
Prom.: 78%
Zona Sísmica Alta (Figure A.2.3-1 – NSR-10)
Nota Cálculos estructurales deben
ser basados en “Wind Speed”:
120 km/h (Figure B.6.4-1 –
NSR-10)
Tabla 1. Condiciones del Sitio – Fuente: “Bases de Diseño – Interdisciplinario” – FFM/F-PEI-010",15
paragraph,,,"PROJECT CONTRACTOR
FFM/F-S-ME-015 20/11/2023
DOCUMENT TITLE Page 10 / 43
Especificación Técnica Paquete de Inyección de Químicos
Rev. 1
5. Datos Generales y Requisitos",16
section_header,5.1,Vida de servicio,,16
paragraph,5.1,Vida de servicio,"Todos los equipos suministrados para el PAQUETE de inyección de químicos deben estar diseñados y
fabricados para una vida útil de diseño por lo menos de 20 años y mínimo 3 años de operación continua.",16
section_header,5.2,Unidades de medida,,16
paragraph,5.2,Unidades de medida,"Todas las unidades de medida serán del sistema inglés (US), a menos que se especifique de otros
sistemas de unidades en la documentación contractual.",16
section_header,5.3,Lenguaje,,16
paragraph,5.3,Lenguaje,"El lenguaje para esta especificación está en español, pero los documentos relacionados a este proyecto
podrán estar en inglés, excepto el manual de operación y mantenimiento el cual deberá estar impreso en
idioma español.",16
section_header,5.4,Limitación de Ruido,,16
paragraph,5.4,Limitación de Ruido,"El nivel de ruido combinado del nuevo PAQUETE y sus equipos asociados no deberán sobrepasar los 85
dB (A) al aire libre, cuando se realicen mediciones a un (1) metro de distancia de la fuente de ruido en
todas las direcciones.
Si para cumplir el requerimiento de nivel de ruido, el VENDEDOR deberá disponer de una cabina de
insonorización del PAQUETE, el VENDEDOR deberá incluirla dentro de su alcance y su diseño debe
permitir el acceso fácil al equipo para realizar labores de inspección, limpieza, reemplazo de piezas y
mantenimiento y deberá dejar accesibles las facilidades para izado del equipo para su manipulación y
transporte. Las pruebas de ruido del PAQUETE y a cargo del VENDEDOR se deben realizar de acuerdo
con la norma ISO 2151 o similar que aplique.",16
section_header,5.5,Clasificación de Áreas Peligrosas,,16
paragraph,5.5,Clasificación de Áreas Peligrosas,"La clasificación de áreas peligrosas en el área donde será instalado el equipo se encuentra defina como
Clase I División 2 Grupo D según lo indicado en las hojas de datos y el documento FFM/F-PCF-GN-ELF-
00-001-1/4 “Planimetría de Clasificación de Áreas Respaldo DEMAG”.",16
section_header,5.6,Suministro de Energía,,16
paragraph,5.6,Suministro de Energía,"El suministro de energía eléctrica será proporcionado por el CLIENTE hasta la caja de conexiones del
PAQUETE a borde del patín. La energía suministrada por el VENDEDOR con los siguientes voltajes de
acuerdo con RETIE (2013) ítem 12 y EDP-ET-344 ítem 4.4.1:",16
paragraph,,,"PROJECT CONTRACTOR
FFM/F-S-ME-015 20/11/2023
DOCUMENT TITLE Page 11 / 43
Especificación Técnica Paquete de Inyección de Químicos
Rev. 1
Equipos Voltajes
Alimentación principal de baja 480 VAC, 60 Hz, 3 Fases + Tierra (*)
tensión
Panel de Control 120 VAC, 60 Hz voltaje regulado 1 Fases + Neutro + Tierra
Tabla 2. Suministro de Energía Eléctrica
(*) Cualquier otro sistema de voltaje requerido debe ser derivado internamente por el VENDEDOR.",17
section_header,5.7,Área Disponible,,17
paragraph,5.7,Área Disponible,"El PAQUETE de inyección de químicos deberá ser instalado en el CPF CUPIAGUA dentro de la zona N°5
funcionando para el nuevo equipo de compresión de gas de proceso, según el plano FFD/F-PCF-MP-PIL-
10-822-1/1.
El área disponible estimada es un rectángulo de aproximadamente 3.1 m x 4.5 m para la instalación del
PAQUETE como se muestra a continuación. El VENDEDOR deberá considerar esto para preparar el
arreglo general de los equipos del PAQUETE asegurando áreas de mantenimiento y operativas:
Figura 2. Área disponible para el PAQUETE. (ver FFD/F-PCF-MP-PIL-10-822-1/1)",17
paragraph,,,"PROJECT CONTRACTOR
FFM/F-S-ME-015 20/11/2023
DOCUMENT TITLE Page 12 / 43
Especificación Técnica Paquete de Inyección de Químicos
Rev. 1
6. Alcance del suministro
El PROVEEDOR deberá suministrar totalmente nuevos y con todos los accesorios, insumos y equipos
asociados para su correcto funcionamiento, probar y realizar la asistencia técnica en SITIO durante la
instalación, comisionamiento y puesta en marcha del PAQUETE incluyendo, pero no limitándose a los
siguiente.",18
section_header,6.1,Equipos y Componentes,,18
paragraph,6.1,Equipos y Componentes," Seis (6) bombas dosificadoras de químico de acuerdo con API STD 675
 Seis (6) motores eléctricos de las bombas.
 Tres (3) tanque de almacenamiento portátil tipo IBC (bulkdrum) para almacenamiento de químicos.
 Conexión rápida entre tanque de almacenamiento de químico y múltiple (manifold) de succión bombas
de dosificación.
 Seis (6) boquillas de inyección de químico en tubería con su respectivo atomizador (Quill de inyección).
 Toda la instrumentación y válvulas de control necesarias para la operación del PAQUETE.
 Todo el cableado eléctrico de control dentro del límite de batería del PAQUETE.
 Todas las tuberías de interconexión dentro del límite de batería del PAQUETE.
 Cajas de conexionado (junction boxes) Explosion Proof
 Terminales para puesta a tierra.",18
section_header,6.2,Servicios y Misceláneos,,18
paragraph,6.2,Servicios y Misceláneos," Placa de identificación.
 Preparación de superficie y pintura de acuerdo con el numeral 6.8 de esta especificación.
 Herramientas especiales (Si aplica).",18
paragraph,,,"PROJECT CONTRACTOR
FFM/F-S-ME-015 20/11/2023
DOCUMENT TITLE Page 13 / 43
Especificación Técnica Paquete de Inyección de Químicos
Rev. 1
 Partes de repuesto y consumibles para instalación, comisionamiento, puesta en marcha y arranque del
PAQUETE de inyección de químicos.
 Listado de partes de repuesto para mantenimiento y dos años de operación (debe incluir (descripción
detallada del repuesto según estándar del PROVEEDOR, cantidad por equipo según recomendado por
el PROVEEDOR, número de parte y catálogo del repuesto y valor unitario).
 Lista de repuestos y consumibles generales del equipo no incluidos en los anteriores listados
(descripción detallada del repuesto según estándar del PROVEEDOR, cantidad por equipo según
recomendado por el PROVEEDOR, número de parte y catálogo del repuesto).
 Pruebas de aceptación en fabrica FAT.
 Empaque, envío y descargue en sitio de instalación del PAQUETE.
 Documentación de acuerdo con el capítulo 12 de esta especificación.
 Asistencia técnica en sitio durante la instalación, el comisionamiento, puesta en marcha y pruebas SAT
hasta estabilizar procesos y conseguir aprobación por escrito del CLIENTE.
 Entrenamiento / capacitación en SITIO del personal del CLIENTE.
 Certificaciones de fábrica.
 Toda la documentación necesaria y suficiente para la certificación RETIE del PAQUETE.
 Documentación As-Built, y de fabricación del PAQUETE.
 Garantías.",19
