doc_id,doc_type,file_name,_page,_table_idx,_row,table_uid,section_number_near,section_title_near,caption_near,table_order_in_page,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50
FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS),MR,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS).pdf,1,4,4,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS)::p001::t04,,,,12,,,MSC,OVM,OCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS),MR,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS).pdf,1,4,5,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS)::p001::t04,,,,13,REV.,DESCRIPCIÓN,ELABORÓ,REVISÓ,APROBÓ,FECHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS),MR,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS).pdf,3,1,1,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS)::p003::t01,10.3,DOCUMENTOS DE REFERENCIA ............................................................................................................................ 20,,1,,"FORMATO REQUISICIÓN DE MATERIALES COMPRAS
MAYORES
Paquete de Inyección de Químicos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS),MR,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS).pdf,3,1,2,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS)::p003::t01,10.3,DOCUMENTOS DE REFERENCIA ............................................................................................................................ 20,,2,,"ECOPETROL DESARROLLO DE PROYECTO
VICEPRESIDENCIA DE INGENIERÍA Y PROYECTOS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS),MR,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS).pdf,3,1,3,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS)::p003::t01,10.3,DOCUMENTOS DE REFERENCIA ............................................................................................................................ 20,,3,,"CÓDIGO
EDP-F-046","Elaborado
20/11/2017",Versión: 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS),MR,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS).pdf,3,2,1,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS)::p003::t02,10.3,DOCUMENTOS DE REFERENCIA ............................................................................................................................ 20,,4,MR #: FFM/F-MEQ-013,"INGENIERÍA DETALLE ACONDICIONAMIENTO
ESTRATEGICO CUPIAGUA",REV: 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS),MR,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS).pdf,3,2,2,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS)::p003::t02,10.3,DOCUMENTOS DE REFERENCIA ............................................................................................................................ 20,,5,"Documento:
Requisición de materiales
Paquete de Inyección de
Químicos",Especialidad Mecánica,FECHA: 01-11-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS),MR,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS).pdf,5,1,1,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS)::p005::t01,2.1,ALCANCE GENERAL,,1,,"FORMATO REQUISICIÓN DE MATERIALES COMPRAS
MAYORES
Paquete de Inyección de Químicos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS),MR,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS).pdf,5,1,2,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS)::p005::t01,2.1,ALCANCE GENERAL,,2,,"ECOPETROL DESARROLLO DE PROYECTO
VICEPRESIDENCIA DE INGENIERÍA Y PROYECTOS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS),MR,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS).pdf,5,1,3,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS)::p005::t01,2.1,ALCANCE GENERAL,,3,,"CÓDIGO
EDP-F-046","Elaborado
20/11/2017",Versión: 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS),MR,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS).pdf,5,2,1,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS)::p005::t02,2.1,ALCANCE GENERAL,,4,MR #: FFM/F-MEQ-013,"INGENIERÍA DETALLE ACONDICIONAMIENTO
ESTRATEGICO CUPIAGUA",REV: 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS),MR,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS).pdf,5,2,2,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS)::p005::t02,2.1,ALCANCE GENERAL,,5,"Documento:
Requisición de materiales
Paquete de Inyección de
Químicos",Especialidad Mecánica,FECHA: 01-11-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS),MR,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS).pdf,5,3,1,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS)::p005::t03,2.1,ALCANCE GENERAL,,6,Ítem,Cantidad,Unidad,TAG,Descripción,"Código de Catálogo
ECOPETROL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS),MR,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS).pdf,5,3,2,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS)::p005::t03,2.1,ALCANCE GENERAL,,7,1,UNO (1),UN,M156CIP-5503,Paquete de Inyección de Químicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS),MR,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS).pdf,6,1,1,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS)::p006::t01,4.2,PROPUESTAS ALTERNATIVAS,,1,,"FORMATO REQUISICIÓN DE MATERIALES COMPRAS
MAYORES
Paquete de Inyección de Químicos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS),MR,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS).pdf,6,1,2,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS)::p006::t01,4.2,PROPUESTAS ALTERNATIVAS,,2,,"ECOPETROL DESARROLLO DE PROYECTO
VICEPRESIDENCIA DE INGENIERÍA Y PROYECTOS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS),MR,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS).pdf,6,1,3,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS)::p006::t01,4.2,PROPUESTAS ALTERNATIVAS,,3,,"CÓDIGO
EDP-F-046","Elaborado
20/11/2017",Versión: 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS),MR,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS).pdf,6,2,1,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS)::p006::t02,4.2,PROPUESTAS ALTERNATIVAS,,4,MR #: FFM/F-MEQ-013,"INGENIERÍA DETALLE ACONDICIONAMIENTO
ESTRATEGICO CUPIAGUA",REV: 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS),MR,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS).pdf,6,2,2,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS)::p006::t02,4.2,PROPUESTAS ALTERNATIVAS,,5,"Documento:
Requisición de materiales
Paquete de Inyección de
Químicos",Especialidad Mecánica,FECHA: 01-11-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS),MR,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS).pdf,7,1,1,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS)::p007::t01,4.4,DOCUMENTACIÓN REQUERIDA DESPUÉS DE LA ORDEN DE COMPRA,,1,,"FORMATO REQUISICIÓN DE MATERIALES COMPRAS
MAYORES
Paquete de Inyección de Químicos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS),MR,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS).pdf,7,1,2,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS)::p007::t01,4.4,DOCUMENTACIÓN REQUERIDA DESPUÉS DE LA ORDEN DE COMPRA,,2,,"ECOPETROL DESARROLLO DE PROYECTO
VICEPRESIDENCIA DE INGENIERÍA Y PROYECTOS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS),MR,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS).pdf,7,1,3,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS)::p007::t01,4.4,DOCUMENTACIÓN REQUERIDA DESPUÉS DE LA ORDEN DE COMPRA,,3,,"CÓDIGO
EDP-F-046","Elaborado
20/11/2017",Versión: 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS),MR,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS).pdf,7,2,1,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS)::p007::t02,4.4,DOCUMENTACIÓN REQUERIDA DESPUÉS DE LA ORDEN DE COMPRA,,4,MR #: FFM/F-MEQ-013,"INGENIERÍA DETALLE ACONDICIONAMIENTO
ESTRATEGICO CUPIAGUA",REV: 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS),MR,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS).pdf,7,2,2,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS)::p007::t02,4.4,DOCUMENTACIÓN REQUERIDA DESPUÉS DE LA ORDEN DE COMPRA,,5,"Documento:
Requisición de materiales
Paquete de Inyección de
Químicos",Especialidad Mecánica,FECHA: 01-11-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS),MR,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS).pdf,7,3,1,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS)::p007::t03,4.4,DOCUMENTACIÓN REQUERIDA DESPUÉS DE LA ORDEN DE COMPRA,,6,DESCRIPCIÓN,"CON LA
OFERTA","PRIMERA EMISIÓN DESPUES DE LA
ORDEN DE COMPRA",,,"EMISIÓN FINAL
(5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS),MR,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS).pdf,7,3,2,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS)::p007::t03,4.4,DOCUMENTACIÓN REQUERIDA DESPUÉS DE LA ORDEN DE COMPRA,,7,,,"FECHA
DE
EMISIÓN
(2)","PROPÓSITO
(3)","CANTIDAD
TIPO
(4)","CANTIDAD
TIPO
(4)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS),MR,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS).pdf,7,3,3,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS)::p007::t03,4.4,DOCUMENTACIÓN REQUERIDA DESPUÉS DE LA ORDEN DE COMPRA,,8,"Lista de comentarios, desviaciones y excepciones a
esta requisición y sus anexos, sin esta información
las propuestas serán rechazadas (*)",X,-,IFR,E,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS),MR,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS).pdf,7,3,4,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS)::p007::t03,4.4,DOCUMENTACIÓN REQUERIDA DESPUÉS DE LA ORDEN DE COMPRA,,9,"Cronograma de ingeniería, adquisición, fabricación y
pruebas",X,+2Sem,IFR,E,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS),MR,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS).pdf,7,3,5,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS)::p007::t03,4.4,DOCUMENTACIÓN REQUERIDA DESPUÉS DE LA ORDEN DE COMPRA,,10,Plan de calidad y certificación del sistema de calidad,,+2Sem,IFR,-,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS),MR,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS).pdf,7,3,6,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS)::p007::t03,4.4,DOCUMENTACIÓN REQUERIDA DESPUÉS DE LA ORDEN DE COMPRA,,11,Sub-proveedor y lista de proveedores principales,,-,IFR,E,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS),MR,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS).pdf,7,3,7,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS)::p007::t03,4.4,DOCUMENTACIÓN REQUERIDA DESPUÉS DE LA ORDEN DE COMPRA,,12,Calificación de sub-proveedores,,+4Sem,IFR,-,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS),MR,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS).pdf,7,3,8,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS)::p007::t03,4.4,DOCUMENTACIÓN REQUERIDA DESPUÉS DE LA ORDEN DE COMPRA,,13,Literatura/Catálogos del equipo y componentes,X,-,IFR,E,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS),MR,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS).pdf,7,3,9,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS)::p007::t03,4.4,DOCUMENTACIÓN REQUERIDA DESPUÉS DE LA ORDEN DE COMPRA,,14,Placa de identificación,,+4Sem,IFR,E,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS),MR,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS).pdf,7,3,10,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS)::p007::t03,4.4,DOCUMENTACIÓN REQUERIDA DESPUÉS DE LA ORDEN DE COMPRA,,15,"Planos de arreglos generales del PAQUETE (*) con
pesos, dimensiones, listado de partes y materiales
referenciales",X,+3Sem,IFR,E,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS),MR,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS).pdf,7,3,11,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS)::p007::t03,4.4,DOCUMENTACIÓN REQUERIDA DESPUÉS DE LA ORDEN DE COMPRA,,16,"Planos detallados del PAQUETE con pesos,
dimensiones, listado de partes y materiales",,+6Sem,IFR,E,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS),MR,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS).pdf,7,3,12,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS)::p007::t03,4.4,DOCUMENTACIÓN REQUERIDA DESPUÉS DE LA ORDEN DE COMPRA,,17,"Modelo 3D del paquete adecuado para ser integrado
en Smart Plan",,+6Sem,IFR,E,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS),MR,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS).pdf,8,1,1,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS)::p008::t01,4.4,DOCUMENTACIÓN REQUERIDA DESPUÉS DE LA ORDEN DE COMPRA,,1,,"FORMATO REQUISICIÓN DE MATERIALES COMPRAS
MAYORES
Paquete de Inyección de Químicos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS),MR,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS).pdf,8,1,2,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS)::p008::t01,4.4,DOCUMENTACIÓN REQUERIDA DESPUÉS DE LA ORDEN DE COMPRA,,2,,"ECOPETROL DESARROLLO DE PROYECTO
VICEPRESIDENCIA DE INGENIERÍA Y PROYECTOS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS),MR,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS).pdf,8,1,3,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS)::p008::t01,4.4,DOCUMENTACIÓN REQUERIDA DESPUÉS DE LA ORDEN DE COMPRA,,3,,"CÓDIGO
EDP-F-046","Elaborado
20/11/2017",Versión: 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS),MR,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS).pdf,8,2,1,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS)::p008::t02,4.4,DOCUMENTACIÓN REQUERIDA DESPUÉS DE LA ORDEN DE COMPRA,,4,MR #: FFM/F-MEQ-013,"INGENIERÍA DETALLE ACONDICIONAMIENTO
ESTRATEGICO CUPIAGUA",REV: 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS),MR,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS).pdf,8,2,2,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS)::p008::t02,4.4,DOCUMENTACIÓN REQUERIDA DESPUÉS DE LA ORDEN DE COMPRA,,5,"Documento:
Requisición de materiales
Paquete de Inyección de
Químicos",Especialidad Mecánica,FECHA: 01-11-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
